id,question,answer,links
faq_1,Am I required to get business insurance?,"Business insurance, also known as Commercial General Liability insurance, protects against third-party bodily injury and property damage claims arising from your premises or operations.  This type of insurance includes coverage for Personal Injury, Products/Completed Operations, Fire Legal Liability, and Medical Payments.  Business insurance is not required as a general rule;  however, it is recommended for non-corporate entity business structures such as Sole Proprietorships because it can provide the same protection against lawsuits as a Corporation or LLC.  It also protects owners from losses due to bodily or property damages.
Note: one exception to this rule is if you are registered as a general or specialty contractor with the Department of Labor & Industries. Visit: https://lni.wa.gov/licensing-permits/contractors/register-as-a-contractor/ for more details.
If you have questions about business insurance, you should speak with a licensed insurance professional or insurance company regarding your coverage for your business, or visit https://www.insurance.wa.gov/learn-how-business-insurance-works.",https://lni.wa.gov/licensing-permits/contractors/register-as-a-contractor/ (https://lni.wa.gov/licensing-permits/contractors/register-as-a-contractor/) | https://www.insurance.wa.gov/learn-how-business-insurance-works (https://www.insurance.wa.gov/learn-how-business-insurance-works)
faq_2,Can a Sole Proprietorship change to a business entity such as an LLC?,"To change your business structure from a non-corporate entity such as a Sole Proprietorship to a corporate entity (i.e. LLC, Corporation, etc.) and vise versa, you will need to start from scratch and receive a new UBI number by opening a new business following the steps listed at https://dor.wa.gov/manage-business/grow-business/change-your-business-structure.
For questions on the process, contact the Business Licensing Service at 360-705-6741 or bls@dor.wa.gov.",https://dor.wa.gov/manage-business/grow-business/change-your-business-structure (https://dor.wa.gov/manage-business/grow-business/change-your-business-structure) | bls@dor.wa.gov (mailto:bls@dor.wa.gov)
faq_3,Do I need a business license to drive for Amazon/Uber/Lyft?,"Getting started as a driver with Uber, Lyft, or a similar service can get a little more complicated than you might think because there are potentially licenses, taxes, and insurances you need to consider. We have written a brief guide to help you sort it all out by answering some common questions. Click this link to read the guide.",Click this link to read the guide. (https://www.business.wa.gov/site/alias__business/1574/thinking-about-driving-for-uber-or-lyft.aspx)
faq_4,Do I need a Federal Employer Identification Number (EIN)?,"Sole Proprietorship who do not have employees usually do not need to apply for a Federal Employer Identification Number (EIN); however, corporate entities (LLC, Corporation, etc.) must apply for this registration whether they have employees or not.
For more information, visit: https://www.irs.gov/businesses/small-businesses-self-employed/employer-id-numbers",https://www.irs.gov/businesses/small-businesses-self-employed/employer-id-numbers (https://www.irs.gov/businesses/small-businesses-self-employed/employer-id-numbers)
faq_5,"How do I file a Business Entity Conversion? For example, changing an Oregon LLC into a Washington LLC?","A business entity conversion lets a business change its home jurisdiction or type of entity.
Please note that Sole Proprietorships are not considered a type of business entity. 
For guidance, filing tips, and examples, visit the Corporations and Charities Division’s webpage on Business Entity Conversions at this link.",link (https://www.sos.wa.gov/corporations-charities/resources/business-entity-conversions)
faq_6,How do I file my Washington state taxes online?,"To file your Washington state taxes online, sign into myDOR at: https://secure.dor.wa.gov/home/. 
For a step-by-step guide to filing your taxes using myDOR, visit: https://dor.wa.gov/manage-business/my-dor-help/business-taxes and contact the Department of Revenue at 360-705-6705 with additional questions or further assistance.",https://secure.dor.wa.gov/home/ (https://secure.dor.wa.gov/home/) | https://dor.wa.gov/manage-business/my-dor-help/business-taxes (https://dor.wa.gov/manage-business/my-dor-help/business-taxes)
faq_7,How do I get paid if I have a contract with the state?,"Setting up vendor/payee payment registration - There are two ways to get paid by the state:  The Office of Financial Management (OFM) pays vendors via check or Electronic Funds Transfer (EFT).
OFM has information for vendors about the payment process and how to get help. Businesses can also accept payment through a state credit card, called a purchase card. They work the same as any credit card.
For complete information on how to do business with the state, visit https://des.wa.gov/sell/how-work-state.",Setting up vendor/payee payment registration (https://ofm.wa.gov/it-systems/accounting-systems/statewide-vendorpayee-services) | information for vendors (https://ofm.wa.gov/it-systems/accounting-systems/statewide-vendorpayee-services) | https://des.wa.gov/sell/how-work-state (https://des.wa.gov/sell/how-work-state)
faq_8,How do I renew my business license?,"All businesses must renew any issued city and state endorsements to remain active.  Additionally, corporate entities (LLC, Corporations, etc.) require an Annual Report to be filed with the Secretary of State.  
You can find more information about filing an Annual Report, re-opening a business account, or renewing city and state endorsements, by visiting: https://dor.wa.gov/manage-business/run-business/renew-your-business-license.",https://dor.wa.gov/manage-business/run-business/renew-your-business-license (https://dor.wa.gov/manage-business/run-business/renew-your-business-license)
faq_9,How do I reopen my closed business account?,"To re-open a closed business account, you may need to file a new Business License Application with Business Licensing Service. 
Visit: https://dor.wa.gov/manage-business/run-business/renew-your-business-license for details and contact the Business Licensing Services at 360-705-6741, to speak with a licensing specialist who will review the closed business account with you.",https://dor.wa.gov/manage-business/run-business/renew-your-business-license (https://dor.wa.gov/manage-business/run-business/renew-your-business-license)
faq_10,"How do I set up my business as a corporate entity (LLC, Corporation, etc.)?","To set up your business as a corporate entity (LLC, Corporation, etc.):

Register your business with the Secretary of State (SOS) through the Corporations and Charities Filing System: https://ccfs.sos.wa.gov/#/ to set up your business structure and receive your Unified Business Identifier (UBI) number. For a listing of SOS forms, visit https://www.sos.wa.gov/corps/forms.aspx.

For questions on the registration process or forms, contact the Secretary of State at 360-725-0377 or corps@sos.wa.gov.

Apply for a Federal Tax Identification Number, also known as the Employer Identification Number (EIN).  For more information and to apply online, visit: https://www.irs.gov/businesses/small-businesses-self-employed/employer-id-numbers.


File a Washington State Business License with the Business Licensing Service using your UBI number through the myDOR system: https://dor.wa.gov/manage-business/my-dor-help/business-licensing/apply-new-business-license to set up your business tax account.

We recommend using the Business Licensing Wizard, located at: http://secure.dor.wa.gov/gteauth/?Link=wiz for information on any other licenses or permits that may be required based on the location and type of business.
For questions on the business license application or wizard, contact the Business Licensing Service at 360-705-6741 or bls@dor.wa.gov.",https://ccfs.sos.wa.gov/#/ (https://ccfs.sos.wa.gov/#/) | https://www.sos.wa.gov/corps/forms.aspx (https://www.sos.wa.gov/corps/forms.aspx) | corps@sos.wa.gov (mailto:corps@sos.wa.gov) | https://www.irs.gov/businesses/small-businesses-self-employed/employer-id-numbers (https://www.irs.gov/businesses/small-businesses-self-employed/employer-id-numbers) | https://dor.wa.gov/manage-business/my-dor-help/business-licensing/apply-new-business-license (https://dor.wa.gov/manage-business/my-dor-help/business-licensing/apply-new-business-license) | http://secure.dor.wa.gov/gteauth/?Link=wiz (http://secure.dor.wa.gov/gteauth/?Link=wiz) | bls@dor.wa.gov (mailto:bls@dor.wa.gov)
faq_11,How do I set up my business as a Sole Proprietorship?,"To set up a business as a Sole Proprietorship or other non-corporate entity, file for a Washington State Business License with Business Licensing Service through the myDOR system: https://dor.wa.gov/manage-business/my-dor-help/business-licensing/apply-new-business-license. This will set up your business tax account and you will be provided with a Unified Business Identifier (UBI) number.
We recommend using the Business Licensing Wizard, located at: http://secure.dor.wa.gov/gteauth/?Link=wiz for information on any other licenses or permits that may be required based on the location and type of business
For questions on the business license application or wizard, contact the Business Licensing Service at 360-705-6741.",https://dor.wa.gov/manage-business/my-dor-help/business-licensing/apply-new-business-license (https://dor.wa.gov/manage-business/my-dor-help/business-licensing/apply-new-business-license) | http://secure.dor.wa.gov/gteauth/?Link=wiz (http://secure.dor.wa.gov/gteauth/?Link=wiz)
faq_12,How do I set up my SAW User ID?,"To set up a Secure Access Washington (SAW) account for use on myDOR visit: https://secure.dor.wa.gov/home/Account/Register
For additional information on SAW user accounts, visit: https://dor.wa.gov/manage-business/my-dor-help/get-started#SAW and contact the Department of Revenue at 360-705-6705 with additional questions.",https://secure.dor.wa.gov/home/Account/Register (https://secure.dor.wa.gov/home/Account/Register) | https://dor.wa.gov/manage-business/my-dor-help/get-started#SAW (https://dor.wa.gov/manage-business/my-dor-help/get-started#SAW)
faq_13,How do I set up payroll accounts as a Washington employer?,"To set up employee accounts in Washington, file or refile your Washington State Business license with the Business Licensing Service.
Your business information will be automatically forwarded to the Department of Labor & Industries and Employment Security Department to set up your Workers Compensation and Unemployment Insurance.
For more information, visit: https://dor.wa.gov/manage-business/grow-business/hiring-employees and contact the Business Licensing Service at 360-705-6741 or bls@dor.wa.gov with additional questions.
Note: Nearly all employers in the State of Washington have responsibilities under the Paid Family and Medical Leave Program.  For more information, visit: http://paidleave.wa.gov/employers or contact the Employment Security Department at 833-171-2273 or paidleave@esd.wa.gov.",https://dor.wa.gov/manage-business/grow-business/hiring-employees (https://dor.wa.gov/manage-business/grow-business/hiring-employees) | bls@dor.wa.gov (mailto:bls@dor.wa.gov) | http://paidleave.wa.gov/employers (http://paidleave.wa.gov/employers) | paidleave@esd.wa.gov (mailto:paidleave@esd.wa.gov)
faq_14,How do I set up payroll accounts as an out-of-state employer?,"To set up payroll accounts in Washington, file or refile a Washington State Business License with the Department of Revenue, Business Licensing Service. Your business information is automatically forwarded to the Employment Security Department and Department of Labor & Industries to set up your Unemployment Insurance and Workers Compensation accounts. 
For more information, visit: https://dor.wa.gov/manage-business/grow-business/hiring-employees and contact the Business Licensing Service at 360-705-6741 or bls@dor.wa.gov with additional questions
Also, nearly all employers in the State of Washington have responsibilities under the Paid Family and Medical Leave Program.  For additional information, visit: https://www.paidleave.wa.gov and contact the Employment Security Department at 833-717-2273 or paidleave@esd.wa.gov with additional questions.
Note: If you are doing business in Washington, you must also register with the Washington Secretary of State.  For information, visit: https://www.sos.wa.gov/corps/foreign-entity-registration-and-forms.aspx and contact the Secretary of State at 360-725-0358 or corps@sos.wa.gov with any additional questions.",https://dor.wa.gov/manage-business/grow-business/hiring-employees (https://dor.wa.gov/manage-business/grow-business/hiring-employees) | bls@dor.wa.gov (mailto:bls@dor.wa.gov) | https://www.paidleave.wa.gov (https://www.paidleave.wa.gov) | paidleave@esd.wa.gov (mailto:paidleave@esd.wa.gov) | https://www.sos.wa.gov/corps/foreign-entity-registration-and-forms.aspx (https://www.sos.wa.gov/corps/foreign-entity-registration-and-forms.aspx) | corps@sos.wa.gov (mailto:corps@sos.wa.gov)
